ID,PRODUCT,QUANTITY,UNIT_PRICE,DATE,COUNTRY,USER,DOB
5009,bar,94,41.22,20-01-2023,Estonia,Omar Henderson,07-09-1973
4042,put,12,62.16,20-01-2023,Tonga,Samantha Osborn,02-04-1957
3999,site,83,80.53,08-04-2023,El Salvador,Meghan Kaufman,18-11-1988
766,write,84,66.26,05-02-2023,Egypt,George Myers,13-04-1974
4925,well,23,51.19,26-10-2022,Greenland,Thomas Thompson,30-10-1942
5583,age,77,74.64,20-02-2023,Sri Lanka,Julie Koch,27-12-1957
9918,fight,4,8.72,01-03-2023,Belarus,Kelsey Hutchinson,24-06-1978
3445,term,23,26.14,01-02-2023,Taiwan,Autumn Johnson,04-10-1964
4488,parent,13,15.86,07-04-2023,Tuvalu,Sean Anderson,02-11-1966
1267,admit,77,94.23,11-06-2022,Suriname,Michelle Diaz,26-09-1967
1348,enough,46,73.36,19-12-2022,Malawi,Cheryl Guerra,19-03-1983
4930,five,89,63.42,17-07-2022,Somalia,Christopher Bryan,26-09-1966
730,window,99,24.37,23-09-2022,Bahamas,Stephen Cole,28-01-1948
9084,that,75,62.97,21-11-2022,South Georgia and the South Sandwich Islands,Toni Parker,31-10-1980
2940,seven,12,43.03,21-04-2023,Nauru,David Rojas,01-09-2000
6740,page,92,55.13,04-07-2022,Russian Federation,Lori Skinner,30-08-1992
6436,recently,65,67.93,21-07-2022,Chad,Allison Kelley,30-08-1995
3640,traditional,34,14.07,11-06-2022,Moldova,Jessica Terry,30-09-1983
1703,end,88,69.99,05-08-2022,Aruba,Linda Chan,13-04-1976
4612,himself,65,32.59,14-07-2022,Kyrgyz Republic,Shelley Nixon,23-03-1961
3937,past,24,82.89,16-09-2022,Croatia,Robin Huang,13-08-1966
1600,Republican,34,14.20,21-08-2022,Cayman Islands,Antonio Wilson,25-09-1966
5416,happen,30,32.99,02-03-2023,Sudan,Marcus Martinez,31-12-2002
2712,region,44,71.32,11-03-2023,Hong Kong,Scott Collins,29-10-1969
5226,wind,4,0.99,02-04-2023,Niger,John Mcpherson,10-12-1971
6186,imagine,36,76.16,05-12-2022,Czech Republic,Amanda Hill,24-09-1976
4622,whole,68,46.96,03-01-2023,Cape Verde,Gina Rivers,18-09-2002
5472,art,65,12.60,22-12-2022,Togo,Rachel Brown,07-01-1987
1309,they,63,8.99,26-08-2022,French Guiana,Julie Lee,01-06-1961
556,speech,87,61.39,08-11-2022,Chile,Carolyn Ortiz,23-12-1971
9410,recently,1,4.96,15-04-2023,Isle of Man,Benjamin Hatfield,27-07-1992
3767,economic,4,26.02,11-09-2022,Vietnam,Allison Wade,08-11-1943
9740,upon,97,9.52,11-04-2023,Hungary,Jonathan Webster,04-05-1955
6692,brother,47,34.03,05-04-2023,Uzbekistan,Gabrielle English,09-12-1964
184,close,14,70.34,17-05-2023,Djibouti,Max Hill,12-06-2003
2957,able,95,90.92,30-03-2023,South Georgia and the South Sandwich Islands,Diana Ramirez,30-04-1987
4457,family,1,13.06,16-04-2023,Montenegro,Gina Davis,21-02-1956
